categoryid,categoryname,parentcategoryid,categoryurl,ispublic,categoryintroduction,title,metadescription
533,"Korvbröd, Pitabröd mm",15,korvbrod--pitabrod-mm,1,"Missa inte att handla hem korvbröd, pitabröd och hamburgerbröd! Perfekt att ha hemma i frysen då du vill göra snabba middagar i form av hamburgare eller varmkorv. Här finns flera olika alternativ att välja mellan, allt från styckeköpta till storpack.",,
534,Cider,6087,cider,1,"Cider är en härlig törstsläckare och finns i smaker som äpple, päron och skogsbär. En toppendryck att ha hemma och bjuda då det kommer oväntat besök. Här finns både alkoholfria sorter samt cider med låg alkoholhalt.",,
535,"Glutenfri mix",4859,glutenfri-mix,1,,,
537,Ansjovis,3812,ansjovis,1,"Njut av förstklassig ansjovis från bland annat Grebbestads. Gott bland annat till klassisk Janssons frestelse som vi gärna äter både påsk, jul och midsommar. Här finns både stora och små burkar att välja mellan. Vid beställning får du varorna levererade hela vägen hem till dig.",,
538,Kaviar,582,kaviar,1,"Svennes, Kalles eller någon annan sort, alla har vi vår egen favorit då det kommer till kaviar. Här finns ett stort utbud av kaviar i olika smaker så att du enkelt kan hitta din favorit eller testa en ny sort. Kaviar är gott på både knäckebröd och mjukt bröd!",,
539,"Caviar & Stenbitsrom",582,kaviar-o-stenbitsrom,1,"Lyxa till det med underbar sälta från kaviar- och stenbitsrom. Högkvalitativ rom behöver inget tillbehör utan kan ätas precis som den är. Vill du så kan du givetvis använda den som dekoration på exempelvis en smörgåstårta eller små snittar. Välj bland alla våra underbara produkter här på sidan.",,
540,Fiskpastejer,404,fiskpastejer,1,"Lax-, böckling- eller tonfiskpastej, alla är de lika goda att bre på mackan! Du kan även sätta fiskpastejen som topping på ett ägg eller som tillbehör till fiskrätten. Här kan du klicka hem flera olika varianter så levererar vi på MatHem hem maten direkt till dig.",,
541,Stuvningar,4701,stuvningar,1,,,
544,Grilltillbehör,4,grillolja--glaze-mm,1,,,
546,"Spicy Green Curry",346,spicy-green-curry,1,NULL,NULL,NULL
547,"Spicy Tikka Masala Sauce",5587,spicy-tikka-masala-sauce,1,"Testa någon av våra smaksatta såser med kryddning från den indiska köket. Massor med smak och doft som säkerligen får dig att längta efter mer!",,
552,Champinjon,182,champinjon,1,,,
553,Svampkonserver,4701,svampkonserver,1,,,
555,"Hårt Tunnbröd",2958,hart-tunnbrod,1,"Hårt tunnbröd är gott som det är med lite smör, men lika gott är det att lägga på mosad potatis, surströmming och andra ingredienser för att få en härligt smakrik klämma. Välj här på sidan bland flera olika tunnbrödssorter från olika tillverkare.",,
556,"Riven Gratängost",3064,riven-gratangost,1,,,
557,"Riven Pizzaost",3064,riven-pizzaost,1,,,
558,"Riven Magerost",3064,riven-magerost,1,,,
560,Magréost,3059,magreost,1,NULL,NULL,NULL
561,"Riven Sveciaost",3064,riven-sveciaost,1,,,
562,"Riven Texmexost",3064,riven-texmexost,1,,,
563,Hushållsost,3059,hushallsost,1,,,
564,"Riven Ädelost",3064,riven-adelost,1,,,
565,Herrgårdsost,3059,herrgardsost,1,,,
570,Glasstrutar,5593,glasstrutar,1,"Bjud på en smaskig glasstrut efter maten, här kan du välja mellan bland annat Top Hat, Tip Top och Daimstrut - mums!",,
571,Limpa,5371,limpor,1,"Vad är väl godare än en limpmacka med prickig korv eller ost? Här finns mängder av god limpa att njuta av till både frukost, mellanmål eller att ta med på utflykten.",,
579,Couscous,25,couscous,1,,,
580,Polenta,3050,polenta,1,,,
581,Solroskärnor,6126,solroskarnor,1,,,
582,"Kaviar & Rom",18,kaviar-o-rom,1,"Kalles original eller lyxig stenbitsrom? Här finns alla varianter som du kan tänka dig! Kaviar är en kär ingrediens på frukostbordet och finns förutom original även i dillsmak. Hitta din favorit bland vårt stora kaviar-och romsortiment här på sidan!",,
583,Jordgubbsglass,3322,jordgubbsglass,1,,,
584,Sorbet,3322,sorbet,1,,,
586,Fikon,74,fikon,1,"Fikon är riktigt vackert som dekoration till olika maträtter och lika mycket som det är vackert så är det gott att äta. Gör en läcker förrätt med fikon eller avsluta med en smarrig efterrätt innehållande fikon.",,
592,"Fruktdryck & Dessertsoppa",231,smoothie-o-shot,1,"Underbara småmål i form av fruktdrycjer och dessertsoppor, perfekt att ladda med då tiden är knapp. Välj bland flera olika smaker på dessa vitaminkickar!",,
593,Sardeller,3812,sardeller,1,"Härligt salta sardeller, lika goda i dressing och tapenade som till ägg eller som tillbehör till färdiga rätter. Här har vi samlat vårt sortiment av sardeller, godsaker till både vardags och fest!",,
595,"Pesto & Tapenade",261,pesto,1,,,
602,Scampi,84,scampi,1,NULL,NULL,NULL
605,Vindruvor,3226,vindruvor,1,"Saftiga vindruvor, gott till ostbrickan, i fruktsalladen eller att ha framme och bara ta en druva då du känner dig sugen. Här kan du välja mellan röda och gröna druvor, med eller utan kärnor och naturligtvis finns här ekologiska sorter för den som vill ha det.",,
606,Pollock,502,pollock,1,"Alaska Pollock är en lättillagad fisk som passar utmärkt i bland annat grytor och gratänger. Du får en härlig fisksmak som passar bra ihop med många olika tillbehör. Perfekt att ha i frysen när inspirationen tryter!",,
607,Flundra,502,flundra,1,,,
608,Kräftor,84,kraftor,1,"Anordna en smakrik kräftfest, det går lika bra att göra det året om, eller så väntar du tills kräftpremiären är i antågande. Kräftorna mår gott av att serveras med exempelvis en krispig sallad eller västerbottenspaj.",,
616,Blodpudding,3051,blodpudding,1,"Blodpudding är en favorit hos många barn, och kanske också hos många föräldrar som ser fördelen i en snabb och enkel middag. Här finns vårt sortiment med blodpudding.",,
618,Vattenkastanjer,4699,vattenkastanjer,1,,,
619,"Mixad Fisk",502,mixad-fisk,1,,,
621,"Cottage Cheese",3060,cottage-cheese,1,,,
622,Hallon,75,hallon,1,,,
623,Vitlök,168,vitlok,1,,,
624,Jordärtskocka,4781,jordartskocka,1,,,
625,Spenat,165,spenat,1,,,
626,Älg,3299,alg,1,,,
627,Ren,3299,ren,1,,,
629,Kroppkakor,4484,kroppkakor,1,,,
633,Rädisor,3227,radisor,1,"Rädisor är en fräsch ingrediens i exempelvis en sallad. Den har kraftig men inte för stark smak som ger ett lyft till andra, lite sötare grönsaker och rotfrukter. Det går bra att äta även blasten, som även den blir ett roligt inslag i en sallad.",,
636,Persilja,3829,persilja,1,"Färsk och fryst persilja, här kan du bland annat välja ekologiska alternativ. Persilja är riktigt bra att ha hemma för att krydda till vilken vardagsrätt som helst.",,
639,"Chilipeppar Röd",3009,chilipeppar-rod,1,,,
641,Dadlar,3226,dadlar,1,"Dadlar är lika gott torkade som färska. Använd som snacks eller som smaksättare till exempelvis grytor. Här på sidan hittar du vårt sortiment av dadlar, din leverans kör vi direkt hem till dig!",,
643,Bulgur,25,bulgur,1,,,
645,Timjan,3829,timjan,1,,,
649,Olivolja,4962,olivolja,1,,,
654,Potatisgratäng,4692,potatisgratang,1,"Potatisgratäng är riktigt gott till en mör köttbit, till kyckling och fisk. Dessutom brukar det bli en stor laddning som man kan äta från flera dagar efteråt! Här kan du välja mellan både större och mindre förpackningar med färdiga potatisgratänger som du enkelt värmer i ugnen då det är dags.",,
660,Jäst,3818,jast,1,"Dags att baka matbröd eller fikabröd? Glöm inte jästen, här finns både färsk och torr jäst samt jäst anpassade för söta degar.",,
661,Brieost,3062,brieost,1,,,
662,Presentboxar,3501,veckotidningar,1,"Passa på att köpa hem din favorittidning med varje veckas matleverans. Här finns många olika titlar med spännande nyheter att välja bland.",,
667,"Cafe de Paris Sås",200,cafe-de-paris-sas,1,,,
668,Cocktailpinne,3822,cocktailpinne,1,,,
671,Ärtskott,4782,artskott,1,,,
677,"Riven Allerumost",3064,riven-allerumost,1,,,
679,Grevéost,3059,greveost,1,,,
685,Gorgonzola,3892,gorgonzolaost,1,,,
686,Mascarpone,3060,mascarpone,1,,,
687,Ricottaost,3060,ricottaost,1,,,
691,Ostbricka,3062,ostbricka,1,,,
694,"Sambal Oelek",1276,sambal-oelek,1,,,
700,"Hundmat Torrfoder Storpack",702,hundmat-torrfoder-storpack,1,,,
701,"Kattmat Torrfoder",37,kattmat-torrfoder,1,,,
702,"Hundmat Torrfoder",35,hundmat-torrfoder,1,,,
703,Pepparsås,200,pepparsas,1,,,
704,"Tabasco Grön",200,tabasco-gron,1,,,
706,"Kattgodbitar & Tillskott",37,kattgodis,1,,,
707,Chips,14,chips,1,"Kettle, Estrella, OLW eller LantChips - alla har vi våra favoriter, därför har vi samlat ett stort gäng med chips på den här sidan så att du enkelt kan klicka hem valfri sort till fredagsmyset. Välj mellan mängder av både milda och lite starkare smaker.",,
708,Vetemjöl,4859,vetemjol,1,,,
709,Grillkorv,42,grillkorv,1,,,
710,Bryggkaffe,45,bryggkaffe,1,,,
718,Apelsin,72,apelsin,1,,,
723,Physalis,74,physalis,1,,,
728,Blodapelsin,72,blodapelsin,1,,,
730,Lingon,75,lingon,1,,,
731,Citron,72,citron,1,,,
735,Falukorv,42,falukorv,1,,,
736,Rödbetssallad,98,rodbetssallad,1,,,
737,Mimosa,98,mimosa,1,"En fruktig sallad som bland annat används till julbordet eller som fyllning i en smörgåstårta. Den söta smaken från frukten blir riktigt god tillsammans med lite sälta från en skinkskiva eller lite grillat kött.",,
740,Räksallad,98,raksallad,1,"Räksallad är alltid gott att ha hemma i kylen! Vansinnigt gott på snittar, på smörgåsen, till fisk eller att vräka på ett par matskedar över pommes frites.",,
742,Skagenröra,98,skagenrora,1,"Lyxigt god skagenröra som garanterat går åt där hemma, oavsett om det blir på en smörgås, i snittar eller något annat. En riktigt god röra med ljuva smaker från havet, du kommer att längta efter mer!",,
744,Coleslaw,98,coleslaw,1,"Färdig coleslaw i olika varianter, riktigt gott till bland annat grillat kött, korv eller till hamburgaren. Här samsas varumärken som Jensens, Texas Longhorn och K-Salat tillsammans i både stora och små förpackningar.",,
746,"Prästost Mellan",61,prastost-mellan,1,,,
747,Kassler,100,kassler,1,,,
748,Prinskorv,42,prinskorv,1,,,
749,"Varm- & Wienerkorv",42,varm--o-wienerkorv,1,,,
751,Rostbiff,117,rostbiff,1,,,
752,Pastrami,4682,pastrami,1,,,
753,"Bacon Skivat",3330,bacon-skivat,1,,,
755,Mortadella,4682,mortadella,1,,,
757,Caesardressing,105,ceasardressing,1,,,
762,"Rökt Skinka",66,rokt-skinka,1,,,
765,Serranoskinka,3735,serranoskinka,1,,,
767,Kalkonbröst,114,kalkonbrost,1,,,
775,Laxfilé,83,laxfile,1,,,
776,Torskfilé,149,torskfile,1,,,
779,Tonfiskfile,153,tonfiskfile,1,,,
790,Lime,72,lime,1,,,
791,Isbergssallat,165,isbergssallat,1,,,
792,Rödlök,168,rodlok,1,,,
793,"Röd Paprika",169,rod-paprika,1,,,
794,Sötpotatis,46,sotpotatis,1,,,
795,Aprikoser,5407,aprikoser,1,,,
796,Blåbär,75,blabar,1,,,
797,"Jordgubbar Färska",3756,jordgubbar-farska,1,,,
799,Carambole,74,carambole,1,,,
802,Guava,74,guava,1,NULL,NULL,NULL
810,Passionsfrukt,74,passionsfrukt,1,,,
813,"Ananas Färsk",171,ananas-farsk,1,,,
814,Granatäpple,74,granatapple,1,,,
815,Pickles,4700,pickles,1,,,
816,Gurka,3227,gurka,1,"Till sallad, som snacks med lite örtsalt, att dippa - med gurka kan du experimentera hur mycket som helst. Gör egen inlagd gurka eller gör vackra dekorationer till exempelvis en smörgåstårta. Här hittar du vårt gurksortiment!",,
817,Endivesallat,165,endivesallat,1,,,
819,Ingefära,3829,ingefara,1,,,
820,Purjolök,168,purjolok,1,,,
822,Skogschampinjoner,182,skogschampioner,1,,,
823,Kantareller,182,kantareller,1,,,
826,Shi-Take-svamp,182,shi-take-svamp,1,,,
828,"Gul lök",168,gul-lok,1,,,
829,"Gul Paprika",169,gul-paprika,1,,,
830,"Orange Paprika",169,orange-paprika,1,,,
831,Paprikamix,169,paprikamix,1,,,
832,"Grön Paprika",169,gron-paprika,1,,,
834,"Potatis Fast",46,potatis-fast,1,,,
836,Tamarillo,74,tamarillo,1,NULL,NULL,NULL
841,Dill,3829,dill,1,"Färsk eller fryst dill - en krydda som är bra att ha hemma för att ge maten det där lilla extra. Vill du handla ekologiskt finns även detta som alternativ.",,
843,Fläskfile,100,flaskfile,1,,,
845,Fläskkotlett,100,flaskkotlett,1,,,
846,Revbensspjäll,100,revbensspjall,1,,,
848,"Köttfärs - Nöt",449,kottfars---not,1,,,
850,"Köttfärs - Fläsk",449,kottfars---flask,1,,,
853,Entrecote,117,entrecote,1,,,
854,"Fransyska & Nötstek",117,fransyska-o-notstek,1,,,
855,Lövbiff,117,lovbiff,1,,,
856,Oxfilé,117,oxfile,1,,,
857,"Grytbitar Nötkött",117,grytbitar-notkott,1,,,
863,Högrev,117,hogrev,1,,,
874,Prosciutto,3735,prosciutto,1,,,
879,Ishavssallad,98,ishavssallad,1,NULL,NULL,NULL
881,Ryggbiff,117,ryggbiff,1,,,
887,Kladdkaka,210,kladdkaka,1,,,
909,Hårmousse,3989,harmousse,1,,,
914,"Rökt Bog",100,rokt-bog,1,,,
917,"Fläskkarré Skivor",4557,flaskkarre-skivor,1,,,
919,"Rökt Sidfläsk Bit",2762,rokt-sidflask-bit,1,,,
920,"Stekfläsk Skivat",2762,stekflask-skivat,1,,,
922,Lammstek,82,lammstek,1,,,
923,Lammkotlett,82,lammkotlett,1,,,
928,"Strimlat Nötkött",117,strimlat-notkott,1,NULL,NULL,NULL
930,Pepparbiff,117,pepparbiff,1,NULL,NULL,NULL
931,Skinkschnitzel,100,skinkschnitzel,1,,,
933,Kalventrecote,117,kalventrecote,1,,,
936,"Lax Gravad",83,lax-gravad,1,,,
938,Wienerschnitzel,100,wienerschnitzel,1,NULL,NULL,NULL
939,Kalvfilé,117,kalvfile,1,NULL,NULL,NULL
940,Kalvstek,117,kalvstek,1,,,
944,Flintastek,100,flintastek,1,NULL,NULL,NULL
948,"Picnic Bog",100,picnic-bog,1,,,
950,Pigghamnoisette,100,pigghamnoisette,1,NULL,NULL,NULL
953,"Prästost Mild",61,prastost-mild,1,,,
955,"Kyckling Hel",189,kyckling-hel,1,,,
957,Kycklingfile,189,kycklingfile,1,,,
958,Kycklinglårfile,189,kycklinglarfile,1,,,
974,"Majskycklingfile fryst",2509,majskycklingfile-fryst,1,,,
976,"Ananas i Fruktkonserver",3554,ananas-i-fruktkonserver,1,,,
977,"Fruktcocktail i Fruktkonserver",3554,fruktcocktail-i-fruktkonserver,1,,,
978,"Päron i Fruktkonserver",3554,paron-i-fruktkonserver,1,,,
979,"Persika Konserverad",3554,persika-konserverad,1,,,
980,"Mandariner i Fruktkonserver",3554,mandariner-i-fruktkonserver,1,,,
982,"Övrig juice",231,juice---ovriga-smaker,1,"Juicer i ljuvligt tropiska smaker, törstsläckande favoriter som smakar lika gott i strupen när som helst under dagen. Här kan du hitta smaker som ananas, aprikos och vindruva.",,
983,"Tropisk juice",6057,tropisk-juice,1,,,
985,"Mango i Fruktkonserver",3554,mango-i-fruktkonserver,1,,,
986,Tandkräm,234,tandkram,1,"Tandkräm med och utan flour från välkända varumärken. Välj bland isande friska smaker eller mer milda varianter som passar till barn. Vill du ha ekologiska alternativ finns naturligtvis även detta!",,"Köp tandkräm i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
987,Popcorn,39,popcorn,1,"Anordna en biokväll där hemma och ladda varsin skål med popcorn till alla deltagare. Här kan du köpa hem micropopcorn, färdigpoppade popcorn, popcornkrydda eller varför inte testa den roliga Pop-A-Cob?",,
988,Deodorant,281,deodorant,1,,,
989,"Hundmat Våtfoder",35,hundmat-vatfoder,1,,,
990,Schampo,238,harschampoo,1,,,
991,Balsam,238,harbalsam,1,,,
992,Hårkur,238,harkur,1,,,
993,Raklödder,239,raklodder,1,"Raklödder är perfekt vid rakning och gör att rakningen blir riktigt behaglig. Här finns raklödder anpassade för både kvinnor och män samt från olika leverantörer.",,"Köp raklödder i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
994,Rakhyvlar,239,rakhyvlar,1,"Många rakhyvlar är av god kvalitet så när du köpt hem en behöver du endast köpa nya rakblad och rakgel emellanåt för att få en riktigt slät rakning. Välj mellan olika modeller här på sidan.",,"Köp rakhyvlar i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
995,Rakblad,239,rakblad,1,"Veuns, Fusion eller Mach 3 - vilken är din favorit bland alla rakhyvlar i vår butik? För en skön rakning, beställ nya rakblad och du har halva jobbet gjort!",,"Köp rakblad i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
996,Engångshyvlar,239,engangshyvlar,1,"Praktiska engångshyvlar som är perfekt att ta med på semester eller att ha liggande som reserv i badrumsskåpet. Välj mellan olika multipack så har du så att det räcker en längre tid!",,"Köp engångshyvlar i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
998,"Puddingar & Mousse",14,puddingar-o-mousse,1,,,
999,"Yoghurt Portionsförp.",245,yoghurt-portionsforp-,1,"Kanske en av barnens favoriter bland kategorin yoghurt - att få välja bland alla små portionsförpackningar med yoghurt i olika goda smaker. Välj mellan att köpa separata förpackningar eller ett flerpack som räcker lite längre.",,
1000,Espressokaffe,45,espresso,1,,,
1001,Snabbkaffe,45,snabbkaffe,1,,,
1003,"Senap Ljus",249,senap-ljus,1,,,
1004,"Senap Dijon",249,senap-dijon,1,,,
1005,"Senap Provencale",249,senap-provencale,1,NULL,NULL,NULL
1006,Fläckborttagning,3971,flackborttagning,1,,,
1008,"Kattmat Våtfoder",37,kattmat-vatfoder,1,,,
1009,"Kattmat Gourmet",37,kattmat-gourmet,1,,,
1010,"Hundmat Gourmet",989,hundmat-gourmet,1,,,
1011,Aprikosmarmelad,257,aprikosmarmelad,1,,,
1016,"Kylda Desserter",4589,kylda-desserter,1,,,
1019,Apelsinmarmelad,257,apelsinmarmelad,1,,,
1020,"Marmelader Övriga",257,marmelader-ovriga,1,,,
1022,"Croissanter - Bake off",5754,croissanter-bakeoff,1,,,
1025,Tamponger,236,tamponger,1,"Här hittar du tamponger från välkända tillverkare, i olika storlekar och som passar för olika dagar och tillfällen. Var snäll mot miljön genom att välja en ekologisk tampong från Renée Voltaire eller köp ett storpack som räcker länge.",,"Köp tamponger i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
1026,Tvålpumpar,3999,handtval-flytande,1,,,
1027,Tandtråd,234,tandtrad,1,"Nästan alla tandläkare rekommenderar tandtråd, och visst känns det lite fräschare i munnen efter en rejäl tandtrådsrengöring? Här kan du bland annat hitta tandtråd från Colgate men även andra varianter. Passa på att köpa hem både tandtråd och andra munvårdsprodukter då du ändå är i gång!",,"Köp tandtråd i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
1028,Hudlotion,5257,kroppslotion,1,,,
1029,Duschtvål,281,duschtval,1,,,
1030,Two-in-one,990,two-in-one,1,,,
1032,Ansiktskräm,5257,ansiktskram,1,,,
1033,Solmedel,4216,solmedel,1,,,
1034,Frisyrgele,3989,frisyrgele,1,,,
1035,Hårspray,3989,harspray,1,,,
1036,Ansiktsrengöring,5257,ansiktsrengoring,1,,,
1038,Rakbalsam,239,rakbalsam,1,NULL,NULL,"Köp [category] i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
1039,Blekning/Blondering,281,blekningblondering,1,,,
1040,Wafers,4740,wafers,1,,,
1041,Kakor,209,kakor-o-kaffekex,1,"Nu kan sju sorters kakor bli sant utan att du ens behöver öppna bakboken! Köp hem till kalas eller ta med till jobbet och bjud på en kaka eller tre. Här finns många favoriter att välja mellan.",,
1042,Ölkorv,42,olkorv,1,,,
1044,Fullkornslimpa,571,fullkornslimpa,1,,,
1045,Duschlotion,1029,duschlotion,1,,,
1046,Handkräm,5257,handcreme,1,,,
1047,"Övrig Korv",42,ovrig-korv,1,,,
1048,"Bakade Snacks",4744,bakade-snacks,1,,,
1049,Bindor,236,bindor,1,"Always, Libresse, Intuition - här hittar du bindor av olika märken och för olika situationer. Du kan även välja ekologiska alternativ i och med Renée Voltaires sortiment med EKO-bindor, så är du extra snäll mot både kroppen och naturen.",,"Köp bindor i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
1050,"Italiensk Sås",200,italiensk-sas,1,NULL,NULL,NULL
1051,Currysås,200,currysas,1,,,
1052,Hawaiisås,5587,hawaiisas,1,"Stek upp kyckling eller fläskkött, häll i såsen och servera till ris eller något annat du tycker om, på bara en liten stund har du en smakrik och mättande maträtt framför dig på bordet. Mums!",,
1053,"Asiatiska smaksättare",5712,asiatisk-sas,1,,,
1055,"Allrengöringsmedel Spray",291,allrengoringsmedel-spray,1,,,
1056,Hallonsylt,3698,hallonsylt,1,,,
1060,"Kaffe Latte",1001,kaffe-latte,1,,,
1061,"Handtvål Hård Flerpack",3988,handtval-hard-flerpack,1,,,
1062,"Tvålpumpar - Refill",3999,handtval-flytande-refill,1,,,
1063,Cerat,5257,cerat,1,,,
1066,Plastfolie,309,plastfolie,1,"Skydda maten med plastfolie, i kyl och på bänk. Matvaror som luktar starkt kan man också plasta in om det är möjligt så att inte resten av kylvarorna tar åt sig av smaken.",,
1068,Plastpåsar,309,plastpasar,1,"Plastpåsar till bröd, baket eller något annat - välj bland flera olika storlekar från våra leverantörer.",,
1069,Folieformar,309,folieformar,1,"Praktiska folieformar är perfekt till rester eller om du ska ta med mat eller fika till någon annan. Här kan du köpa hem folieformar med lock så att transporten blir enklast möjligast!",,
1070,Frysaskar,309,frysaskar,1,NULL,NULL,NULL
1071,Kvarnsalt,44,salt-kvarn,1,,,
1076,"Kryddad Korv",1047,kryddad-korv,1,,,
1079,"Tandborstar Singelpack",4000,tandborstar-singelpack,1,,,"Köp tandborstar singelpack i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
1082,Nötsmör,4859,chokladkram-o-notsmor,1,,,
1083,Äppeljuice,231,applejuice,1,,,
1084,Apelsinjuice,231,apelsin--grape--citron--o-mandarinjuice,1,"Färskpressad, ekologisk, koncentrat - här finns alla de varianter av uppfriskande juicer med smak av bland annat apelsin och citron. En riktig höjdare då törsten gör sig påmind.",,
1086,Trosskydd,236,trosskydd,1,"Trosskydd är alltid bra att ha hemma - därför gör vi det enkelt för dig att klicka hem just den produkt som du behöver. Här finns märken som Libresse, Renée Voltaire och Always. Olika förpackningar, storlekar och funktioner, välj bland alla varor nedan.",,"Köp trosskydd i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
1088,"Rödbetor Skivade",4700,rodbetor-skivade,1,,,
1091,"Tandborstar Multipack",4000,tandborstar-multipack,1,,,"Köp tandborstar multipack i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
1092,Toningsmousse,3912,toningsmousse,1,NULL,NULL,NULL
1094,Barnschampo,990,barnshampoo,1,,,
1097,"Inlagd gurka",261,inlagd-gurka,1,,,
1098,Rakvatten,239,rakvatten,1,NULL,NULL,"Köp [category] i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
1099,Strössel,384,strossel,1,"Strössel ger vilken glass som helst det där lilla, lilla extra! Välj bland många olika smaker som lakrits, choklad eller jordgubbskulor. Strössel passar dessutom alldeles utmärkt att dekorera exempelvis kakor med.",,
1100,"Aprikoser Torkade",188,aprikoser-torkade,1,,,
1102,"Plommon Torkade",188,plommon-torkade,1,,,
1110,Riskakor,3808,riskakor,1,"Riskakor är ett utmärkt mellanmål och finns i mängder av goda smaker. Med märken som exempelvis Friggs och Risenta kan vi presentera ett stort utbud av krispiga ris-, majs-, och linskakor, perfekt att ha hemma i skafferiet.",,
1111,"Kuddar, Ringar & Puffar",269,kuddar--ringar-o-puffar,1,,,
1114,Worcestersås,200,worcestersas,1,,,
1115,BBQ-Sås,544,bbq-sas,1,,,
1116,Luftuppfriskare,291,luftuppfriskare,1,,,
1119,Citronmarmelad,257,citronmarmelad,1,,,
1121,Cookies,1041,cookies,1,"Knapriga cookies som fort försvinner ur sin förpackning! Daim, Oreo, mörk choklad - smakerna är många och utbudet är stort. Hitta din favorit eller en ny goding att smaka på.",,
1122,"Indiska Såser",200,indiska-saser,1,NULL,NULL,NULL
1123,"Mango Chutney",200,mango-chutney,1,,,
1127,"Masala Pasta",346,masala-pasta,1,NULL,NULL,NULL
1128,Tandprotestillbehör,234,tandprotestillbehor,1,NULL,NULL,"Köp [category] i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
1129,Doftblock,291,doftblock,1,,,
1130,Cappuccino,1001,cappuccino,1,,,
1131,"Te English Breakfast",3206,te-english-breakfast,1,,,
1132,Dipmix,707,dipmix,1,"Dipmix i både klassiska och nya smaker, ett riktigt gott tillbehör till alla sorters chips eller till skurna grönsaker. Välj här på sidan bland dill, tortilla, vitlök och massor av andra kryddningar. Och du, glöm inte gräddfilen till!",,
1133,Digestive,3808,digestive,1,"Digestive är ett klassiskt kex som kan användas med både söta och salta tillbehör, eller ätas precis så som dem är. Här kan du välja bland flera olika varianter, bland annat ekologiska digestivekex.",,
1134,Mariekex,4740,mariekex,1,,,
1135,Solrosolja,4965,solrosolja,1,,,
1137,Fotvård,5662,fotvard,1,,,
1138,Snabbris,2832,snabbris,1,,,
1139,Filodeg,211,filodeg,1,"Filodeg går att använda till många olika saker, och beroende på vad du vill fylla det med så kan du servera det antingen som förrätt, huvudrätt eller efterrätt. Filodeg är en vanlig ingrediens bland matlagning i Mellanöstern.",,
1142,Munskölj,234,munskolj,1,"Vad känns väl fräschare än att få gurgla munnen med bitande stark munskölj? Väljer du klassisk Vademecum eller någon av smakerna från Listerine eller Colgate? Välj bland våra munsköljsprodukter nedan så behöver du inte bjuda hem flourtanten.",,"Köp munskölj i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
1143,Preventivmedel,236,preventivmedel,1,"Ligg säkert med hjälp av kondomer från RFSU. Kondomen kan vara det allra bästa preventivmedlet eftersom det inte enbart skyddar mot graviditeter utan för att det också gör att du slipper otrevliga överraskningar som kallas för könssjukdomar. Lätt värt ca 6 kronor per tillfälle!",,"Köp [category] i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
1144,Currypasta,5712,currypasta,1,,,
1145,Tamarindpasta,346,tamarindpasta,1,NULL,NULL,NULL
1146,Kokosmjölk,261,kokosmjolk,1,,,
1150,Sukiyakisås,200,sukiyakisas,1,NULL,NULL,NULL
1151,Sesamolja,4965,sesamolja,1,,,
1153,"Sötsur Sås",1053,sotsur-sas,1,,,
1154,Woksås,1892,woksas,1,,,
1156,Sjögräsnudlar,351,sjograsnudlar,1,,,
1157,Sushiris,5715,sushiris,1,,,
1158,Risvinäger,5715,risvinager,1,,,
1159,Wasabipasta,3640,wasabipasta,1,,,
1162,"Matt och Textilrengöring",291,matt-och-textilrengoring,1,NULL,NULL,NULL
1163,"Rengöringsmedel Övrig",291,rengoringsmedel-ovrig,1,,,
1165,"Måltidsdryck - koncentrat",6111,maltidsdryck---koncentrat,1,,,
1166,Mangojuice,6057,mangojuice,1,,,
1167,Läggningsmedel,3989,laggningsmedel,1,NULL,NULL,NULL
1169,"Vegetariska produkter",16,vegetariska-produkter,1,"Här finns det gott om vegetariska produkter och maträtter att välja bland! Vad sägs om sojakorv, färs, falafel eller ricottabiffar? Hitta din favorit bland alla vegetariska produkter här hos oss på MatHem.",,
1174,"Tandori Currypasta",346,tandori-currypasta,1,,,
